ticker,marketCap,sector,trailingPE,forwardPE,pegRatio,priceToFreeCashFlow,beta,returnOnEquity,debtToEquity,returnOnInvestedCapital,grossMargins,operatingMargins,profitMargins,enterpriseToEbitda,priceMomentum12M
ACN,173552058368.0,Technology,23.128923,18.807947,,15.484809300245768,1.249,0.25016,25.694,,0.31968,0.16974,0.107609995,13.83,-18.698628025035326
TXN,172681510912.0,Technology,34.660583,30.927097,49.51511857142857,,0.988,0.29757,84.477,,0.57483,0.36736,0.29208001,23.26,2.7604334766262673
T,170053337088.0,Communication Services,7.7467103,10.662555,,16.335629764210395,0.6,0.19139999,124.412,,0.59675,0.2158,0.17870001,7.397,13.804870550981473
VZ,168129970176.0,Communication Services,8.502132,8.319025,0.17004264,10.9300392000285,0.327,0.19875,164.799,,0.59415,0.23932,0.14428,6.762,9.859062265532481
NEE,167316848640.0,Utilities,25.50476,20.024326,0.8200887459807074,,0.733,0.08236,144.161,,0.62041,0.30768,0.24729,18.514,23.724731412224354
SPGI,166046564352.0,Financial Services,39.497456,27.354034,1.6388985892116184,33.97356815060944,1.207,0.119940005,31.784,,0.69824,0.44316003,0.28091,23.708,13.533536071261555
HDB,170588536832.0,Financial Services,22.784246,23.88766,2.503763296703297,,0.463,0.108430006,,,0.0,0.39472,0.26962999,,16.015767368715082
UBS,149965635584.0,Financial Services,21.436937,14.916625,0.279490704041721,,0.927,0.08292,,,0.0,0.21517,0.15226,,53.65849043008721
GILD,149945319424.0,Healthcare,18.73566,13.776754,0.1310186013986014,18.67587497015583,0.349,0.40706003,116.243,,0.78716004,0.45231,0.27882,11.786,38.118085352210194
LOW,150741696512.0,Consumer Cyclical,22.245447,20.706404,,31.653456388365893,0.957,,,,0.3359,0.1192,0.08045,15.616,10.233877574856919
COF,150379298816.0,Financial Services,80.529106,11.325189,8.476748,,1.131,0.01615,,,0.0,0.38719,0.04899,,32.06008767806689
ANET,154367197184.0,Technology,46.60958,36.48429,3.007069677419355,47.22719689630081,1.414,0.31736,,,0.64343,0.42378,0.3973,39.401,8.827415362419956
NOW,150257631232.0,Technology,85.78615,34.94704,5.39535534591195,38.43029225512871,0.979,0.16813,21.255,,0.78053004,0.16789,0.13665,57.708,-29.900858729409162
DHR,170058661888.0,Healthcare,48.867283,28.199493,3.6468121641791043,41.793651223600506,0.929,0.06843,35.544,,0.59593,0.2075,0.14435,24.251,-0.3722975029500475
SONY,151352410112.0,Technology,19.683594,21.172268,2.523537692307692,,0.801,0.15387,19.995,,0.29204,0.14869,0.088999994,0.294,25.014798560479747
BSX,144197124096.0,Healthcare,52.01604,28.032991,0.866934,47.04445381124604,0.671,0.12488,50.973,,0.68329,0.20731,0.1443,30.714,2.8115414570216046
